1 alignments/orthologs0001.fas	OG0000534	Pa_1_90
99 alignments/orthologs0099.fas	OG0000634	Pa_1_2100
100 alignments/orthologs0100.fas	OG0000635	Pa_1_2110
101 alignments/orthologs0101.fas	OG0000636	Pa_1_2120
102 alignments/orthologs0102.fas	OG0000637	Pa_1_2130
103 alignments/orthologs0103.fas	OG0000638	Pa_1_2140
104 alignments/orthologs0104.fas	OG0000639	Pa_1_2150
105 alignments/orthologs0105.fas	OG0000640	Pa_1_2160
106 alignments/orthologs0106.fas	OG0000641	Pa_1_2170
107 alignments/orthologs0107.fas	OG0000642	Pa_1_2180
108 alignments/orthologs0108.fas	OG0000643	Pa_1_2190
109 alignments/orthologs0109.fas	OG0000644	Pa_1_2200
110 alignments/orthologs0110.fas	OG0000645	Pa_1_2205
111 alignments/orthologs0111.fas	OG0000646	Pa_1_2210
112 alignments/orthologs0112.fas	OG0000647	Pa_1_2220
113 alignments/orthologs0113.fas	OG0000648	Pa_1_2230
114 alignments/orthologs0114.fas	OG0000649	Pa_1_2240
115 alignments/orthologs0115.fas	OG0000650	Pa_1_2243
116 alignments/orthologs0116.fas	OG0000651	Pa_1_2248
117 alignments/orthologs0117.fas	OG0000652	Pa_1_2250
118 alignments/orthologs0118.fas	OG0000653	Pa_1_2260
119 alignments/orthologs0119.fas	OG0000654	Pa_1_2280
120 alignments/orthologs0120.fas	OG0000655	Pa_1_2290
121 alignments/orthologs0121.fas	OG0000656	Pa_1_2300
122 alignments/orthologs0122.fas	OG0000657	Pa_1_2310
123 alignments/orthologs0123.fas	OG0000658	Pa_1_2320
124 alignments/orthologs0124.fas	OG0000659	Pa_1_2330
125 alignments/orthologs0125.fas	OG0000660	Pa_1_2340
126 alignments/orthologs0126.fas	OG0000661	Pa_1_2350
127 alignments/orthologs0127.fas	OG0000662	Pa_1_2360
128 alignments/orthologs0128.fas	OG0000663	Pa_1_2370
129 alignments/orthologs0129.fas	OG0000664	Pa_1_2380
130 alignments/orthologs0130.fas	OG0000665	Pa_1_2390
131 alignments/orthologs0131.fas	OG0000666	Pa_1_2400
132 alignments/orthologs0132.fas	OG0000667	Pa_1_2410
133 alignments/orthologs0133.fas	OG0000668	Pa_1_2420
134 alignments/orthologs0134.fas	OG0000669	Pa_1_2430
135 alignments/orthologs0135.fas	OG0000670	Pa_1_2440
136 alignments/orthologs0136.fas	OG0000671	Pa_1_2450
137 alignments/orthologs0137.fas	OG0000672	Pa_1_2460
138 alignments/orthologs0138.fas	OG0000673	Pa_1_2470
139 alignments/orthologs0139.fas	OG0000674	Pa_1_2480
140 alignments/orthologs0140.fas	OG0000675	Pa_1_2490
141 alignments/orthologs0141.fas	OG0000676	Pa_1_2495
142 alignments/orthologs0142.fas	OG0000677	Pa_1_2500
143 alignments/orthologs0143.fas	OG0000678	Pa_1_2510
144 alignments/orthologs0144.fas	OG0000679	Pa_1_2520
145 alignments/orthologs0145.fas	OG0000680	Pa_1_2530
146 alignments/orthologs0146.fas	OG0000681	Pa_1_2540
147 alignments/orthologs0147.fas	OG0000682	Pa_1_2550
148 alignments/orthologs0148.fas	OG0000683	Pa_1_2560
149 alignments/orthologs0149.fas	OG0000684	Pa_1_2570
150 alignments/orthologs0150.fas	OG0000685	Pa_1_2580
151 alignments/orthologs0151.fas	OG0000686	Pa_1_2590
152 alignments/orthologs0152.fas	OG0000687	Pa_1_2600
153 alignments/orthologs0153.fas	OG0000688	Pa_1_2610
154 alignments/orthologs0154.fas	OG0000689	Pa_1_2620
155 alignments/orthologs0155.fas	OG0000690	Pa_1_2630
156 alignments/orthologs0156.fas	OG0000691	Pa_1_2640
157 alignments/orthologs0157.fas	OG0000692	Pa_1_2650
158 alignments/orthologs0158.fas	OG0000693	Pa_1_2653
159 alignments/orthologs0159.fas	OG0000694	Pa_1_2656
160 alignments/orthologs0160.fas	OG0000695	Pa_1_2660
161 alignments/orthologs0161.fas	OG0000696	Pa_1_2665
162 alignments/orthologs0162.fas	OG0000697	Pa_1_2680
163 alignments/orthologs0163.fas	OG0000698	Pa_1_2690
164 alignments/orthologs0164.fas	OG0000699	Pa_1_2710
165 alignments/orthologs0165.fas	OG0000700	Pa_1_2720
166 alignments/orthologs0166.fas	OG0000701	Pa_1_2730
167 alignments/orthologs0167.fas	OG0000702	Pa_1_2740
168 alignments/orthologs0168.fas	OG0000703	Pa_1_2750
169 alignments/orthologs0169.fas	OG0000704	Pa_1_2760
170 alignments/orthologs0170.fas	OG0000705	Pa_1_2770
171 alignments/orthologs0171.fas	OG0000706	Pa_1_2780
172 alignments/orthologs0172.fas	OG0000707	Pa_1_2800
173 alignments/orthologs0173.fas	OG0000708	Pa_1_2810
174 alignments/orthologs0174.fas	OG0000709	Pa_1_2820
175 alignments/orthologs0175.fas	OG0000710	Pa_1_2830
176 alignments/orthologs0176.fas	OG0000711	Pa_1_2850
177 alignments/orthologs0177.fas	OG0000712	Pa_1_2890
178 alignments/orthologs0178.fas	OG0000713	Pa_1_2900
179 alignments/orthologs0179.fas	OG0000714	Pa_1_2935
180 alignments/orthologs0180.fas	OG0000715	Pa_1_2950
181 alignments/orthologs0181.fas	OG0000716	Pa_1_2960
182 alignments/orthologs0182.fas	OG0000717	Pa_1_2970
183 alignments/orthologs0183.fas	OG0000718	Pa_1_2980
184 alignments/orthologs0184.fas	OG0000719	Pa_1_2990
185 alignments/orthologs0185.fas	OG0000720	Pa_1_3000
186 alignments/orthologs0186.fas	OG0000721	Pa_1_3010
187 alignments/orthologs0187.fas	OG0000722	Pa_1_3020
188 alignments/orthologs0188.fas	OG0000723	Pa_1_3030
189 alignments/orthologs0189.fas	OG0000724	Pa_1_3040
190 alignments/orthologs0190.fas	OG0000725	Pa_1_3050
191 alignments/orthologs0191.fas	OG0000726	Pa_1_3060
192 alignments/orthologs0192.fas	OG0000727	Pa_1_3070
193 alignments/orthologs0193.fas	OG0000728	Pa_1_3075
194 alignments/orthologs0194.fas	OG0000729	Pa_1_3080
195 alignments/orthologs0195.fas	OG0000730	Pa_1_3090
196 alignments/orthologs0196.fas	OG0000731	Pa_1_3100
197 alignments/orthologs0197.fas	OG0000732	Pa_1_3110
198 alignments/orthologs0198.fas	OG0000733	Pa_1_3120
199 alignments/orthologs0199.fas	OG0000734	Pa_1_3130
200 alignments/orthologs0200.fas	OG0000735	Pa_1_3140
201 alignments/orthologs0201.fas	OG0000736	Pa_1_3150
202 alignments/orthologs0202.fas	OG0000737	Pa_1_3160
203 alignments/orthologs0203.fas	OG0000738	Pa_1_3170
204 alignments/orthologs0204.fas	OG0000739	Pa_1_3180
205 alignments/orthologs0205.fas	OG0000740	Pa_1_3190
206 alignments/orthologs0206.fas	OG0000741	Pa_1_3200
207 alignments/orthologs0207.fas	OG0000742	Pa_1_3220
208 alignments/orthologs0208.fas	OG0000743	Pa_1_3230
209 alignments/orthologs0209.fas	OG0000744	Pa_1_3240
210 alignments/orthologs0210.fas	OG0000745	Pa_1_3250
211 alignments/orthologs0211.fas	OG0000746	Pa_1_3260
212 alignments/orthologs0212.fas	OG0000747	Pa_1_3270
213 alignments/orthologs0213.fas	OG0000748	Pa_1_3280
214 alignments/orthologs0214.fas	OG0000749	Pa_1_3290
215 alignments/orthologs0215.fas	OG0000750	Pa_1_3300
216 alignments/orthologs0216.fas	OG0000751	Pa_1_3310
217 alignments/orthologs0217.fas	OG0000752	Pa_1_3320
218 alignments/orthologs0218.fas	OG0000753	Pa_1_3330
219 alignments/orthologs0219.fas	OG0000754	Pa_1_3340
220 alignments/orthologs0220.fas	OG0000755	Pa_1_3350
221 alignments/orthologs0221.fas	OG0000756	Pa_1_3360
222 alignments/orthologs0222.fas	OG0000757	Pa_1_3370
223 alignments/orthologs0223.fas	OG0000758	Pa_1_3380
224 alignments/orthologs0224.fas	OG0000759	Pa_1_3385
225 alignments/orthologs0225.fas	OG0000760	Pa_1_3390
226 alignments/orthologs0226.fas	OG0000761	Pa_1_3400
227 alignments/orthologs0227.fas	OG0000762	Pa_1_3410
228 alignments/orthologs0228.fas	OG0000763	Pa_1_3420
229 alignments/orthologs0229.fas	OG0000764	Pa_1_3430
230 alignments/orthologs0230.fas	OG0000765	Pa_1_3450
231 alignments/orthologs0231.fas	OG0000766	Pa_1_3440
232 alignments/orthologs0232.fas	OG0000767	Pa_1_3460
233 alignments/orthologs0233.fas	OG0000768	Pa_1_3475
234 alignments/orthologs0234.fas	OG0000769	Pa_1_3480
235 alignments/orthologs0235.fas	OG0000770	Pa_1_3485
236 alignments/orthologs0236.fas	OG0000771	Pa_1_3490
237 alignments/orthologs0237.fas	OG0000772	Pa_1_3500
238 alignments/orthologs0238.fas	OG0000773	Pa_1_3510
239 alignments/orthologs0239.fas	OG0000774	Pa_1_3520
240 alignments/orthologs0240.fas	OG0000775	Pa_1_3530
241 alignments/orthologs0241.fas	OG0000776	Pa_1_3540
242 alignments/orthologs0242.fas	OG0000777	Pa_1_3545
243 alignments/orthologs0243.fas	OG0000778	Pa_1_3550
244 alignments/orthologs0244.fas	OG0000779	Pa_1_3570
245 alignments/orthologs0245.fas	OG0000780	Pa_1_3580
246 alignments/orthologs0246.fas	OG0000781	Pa_1_3590
247 alignments/orthologs0247.fas	OG0000782	Pa_1_3620
248 alignments/orthologs0248.fas	OG0000783	Pa_1_3610
249 alignments/orthologs0249.fas	OG0000784	Pa_1_3630
250 alignments/orthologs0250.fas	OG0000785	Pa_1_3640
251 alignments/orthologs0251.fas	OG0000786	Pa_1_3650
252 alignments/orthologs0252.fas	OG0000787	Pa_1_3660
253 alignments/orthologs0253.fas	OG0000788	Pa_1_3670
254 alignments/orthologs0254.fas	OG0000789	Pa_1_3680
255 alignments/orthologs0255.fas	OG0000790	Pa_1_3690
256 alignments/orthologs0256.fas	OG0000791	Pa_1_3691
257 alignments/orthologs0257.fas	OG0000793	Pa_1_3700
258 alignments/orthologs0258.fas	OG0000794	Pa_1_3710
259 alignments/orthologs0259.fas	OG0000795	Pa_1_3730
260 alignments/orthologs0260.fas	OG0000796	Pa_1_3740
261 alignments/orthologs0261.fas	OG0000797	Pa_1_3750
262 alignments/orthologs0262.fas	OG0000798	Pa_1_3760
263 alignments/orthologs0263.fas	OG0000799	Pa_1_3767
264 alignments/orthologs0264.fas	OG0000800	Pa_1_3770
265 alignments/orthologs0265.fas	OG0000801	Pa_1_3780
266 alignments/orthologs0266.fas	OG0000802	Pa_1_3790
267 alignments/orthologs0267.fas	OG0000803	Pa_1_3800
268 alignments/orthologs0268.fas	OG0000804	Pa_1_3810
269 alignments/orthologs0269.fas	OG0000805	Pa_1_3820
270 alignments/orthologs0270.fas	OG0000806	Pa_1_3830
271 alignments/orthologs0271.fas	OG0000807	Pa_1_3840
272 alignments/orthologs0272.fas	OG0000808	Pa_1_3850
273 alignments/orthologs0273.fas	OG0000809	Pa_1_3853
274 alignments/orthologs0274.fas	OG0000810	Pa_1_3855
275 alignments/orthologs0275.fas	OG0000811	Pa_1_3860
276 alignments/orthologs0276.fas	OG0000812	Pa_1_3870
277 alignments/orthologs0277.fas	OG0000813	Pa_1_3880
278 alignments/orthologs0278.fas	OG0000814	Pa_1_3890
279 alignments/orthologs0279.fas	OG0000815	Pa_1_3900
280 alignments/orthologs0280.fas	OG0000816	Pa_1_3910
281 alignments/orthologs0281.fas	OG0000817	Pa_1_3920
282 alignments/orthologs0282.fas	OG0000818	Pa_1_3930
283 alignments/orthologs0283.fas	OG0000819	Pa_1_3935
284 alignments/orthologs0284.fas	OG0000820	Pa_1_3940
285 alignments/orthologs0285.fas	OG0000821	Pa_1_3945
286 alignments/orthologs0286.fas	OG0000822	Pa_1_3950
287 alignments/orthologs0287.fas	OG0000823	Pa_1_3960
288 alignments/orthologs0288.fas	OG0000824	Pa_1_3970
289 alignments/orthologs0289.fas	OG0000825	Pa_1_3980
290 alignments/orthologs0290.fas	OG0000826	Pa_1_3990
291 alignments/orthologs0291.fas	OG0000827	Pa_1_4000
292 alignments/orthologs0292.fas	OG0000828	Pa_1_4010
293 alignments/orthologs0293.fas	OG0000829	Pa_1_4020
294 alignments/orthologs0294.fas	OG0000830	Pa_1_4030
295 alignments/orthologs0295.fas	OG0000831	Pa_1_4040
296 alignments/orthologs0296.fas	OG0000832	Pa_1_4060
297 alignments/orthologs0297.fas	OG0000833	Pa_1_4090
298 alignments/orthologs0298.fas	OG0000834	Pa_1_4100
299 alignments/orthologs0299.fas	OG0000835	Pa_1_4110
300 alignments/orthologs0300.fas	OG0000836	Pa_1_4120
301 alignments/orthologs0301.fas	OG0000837	Pa_1_4140
302 alignments/orthologs0302.fas	OG0000838	Pa_1_4150
303 alignments/orthologs0303.fas	OG0000839	Pa_1_4160
304 alignments/orthologs0304.fas	OG0000840	Pa_1_4170
305 alignments/orthologs0305.fas	OG0000841	Pa_1_4180
306 alignments/orthologs0306.fas	OG0000842	Pa_1_4190
307 alignments/orthologs0307.fas	OG0000843	Pa_1_4200
308 alignments/orthologs0308.fas	OG0000844	Pa_1_4220
309 alignments/orthologs0309.fas	OG0000845	Pa_1_4230
310 alignments/orthologs0310.fas	OG0000846	Pa_1_4240
311 alignments/orthologs0311.fas	OG0000847	Pa_1_4250
312 alignments/orthologs0312.fas	OG0000848	Pa_1_4260
313 alignments/orthologs0313.fas	OG0000849	Pa_1_4270
314 alignments/orthologs0314.fas	OG0000850	Pa_1_4280
315 alignments/orthologs0315.fas	OG0000851	Pa_1_4290
316 alignments/orthologs0316.fas	OG0000852	Pa_1_4300
317 alignments/orthologs0317.fas	OG0000853	Pa_1_4320
318 alignments/orthologs0318.fas	OG0000854	Pa_1_4325
319 alignments/orthologs0319.fas	OG0000855	Pa_1_4330
320 alignments/orthologs0320.fas	OG0000856	Pa_1_4335
321 alignments/orthologs0321.fas	OG0000857	Pa_1_4340
322 alignments/orthologs0322.fas	OG0000858	Pa_1_4360
323 alignments/orthologs0323.fas	OG0000859	Pa_1_4370
324 alignments/orthologs0324.fas	OG0000860	Pa_1_4380
325 alignments/orthologs0325.fas	OG0000861	Pa_1_4390
326 alignments/orthologs0326.fas	OG0000862	Pa_1_4400
327 alignments/orthologs0327.fas	OG0000863	Pa_1_4410
328 alignments/orthologs0328.fas	OG0000864	Pa_1_4420
329 alignments/orthologs0329.fas	OG0000865	Pa_1_4430
330 alignments/orthologs0330.fas	OG0000866	Pa_1_4440
331 alignments/orthologs0331.fas	OG0000867	Pa_1_4450
332 alignments/orthologs0332.fas	OG0000868	Pa_1_4460
333 alignments/orthologs0333.fas	OG0000869	Pa_1_4470
334 alignments/orthologs0334.fas	OG0000870	Pa_1_4480
335 alignments/orthologs0335.fas	OG0000871	Pa_1_4490
336 alignments/orthologs0336.fas	OG0000872	Pa_1_4495
337 alignments/orthologs0337.fas	OG0000873	Pa_1_4500
338 alignments/orthologs0338.fas	OG0000874	Pa_1_4510
339 alignments/orthologs0339.fas	OG0000875	Pa_1_4515
340 alignments/orthologs0340.fas	OG0000876	Pa_1_4530
341 alignments/orthologs0341.fas	OG0000877	Pa_1_4540
342 alignments/orthologs0342.fas	OG0000878	Pa_1_4550
343 alignments/orthologs0343.fas	OG0000879	Pa_1_4570
344 alignments/orthologs0344.fas	OG0000880	Pa_1_4580
345 alignments/orthologs0345.fas	OG0000881	Pa_1_4590
346 alignments/orthologs0346.fas	OG0000882	Pa_1_4600
347 alignments/orthologs0347.fas	OG0000883	Pa_1_4610
348 alignments/orthologs0348.fas	OG0000884	Pa_1_4620
349 alignments/orthologs0349.fas	OG0000885	Pa_1_4630
350 alignments/orthologs0350.fas	OG0000886	Pa_1_4640
351 alignments/orthologs0351.fas	OG0000887	Pa_1_4650
352 alignments/orthologs0352.fas	OG0000888	Pa_1_4660
353 alignments/orthologs0353.fas	OG0000889	Pa_1_4670
354 alignments/orthologs0354.fas	OG0000890	Pa_1_4710
355 alignments/orthologs0355.fas	OG0000891	Pa_1_4720
356 alignments/orthologs0356.fas	OG0000892	Pa_1_4730
357 alignments/orthologs0357.fas	OG0000893	Pa_1_4740
358 alignments/orthologs0358.fas	OG0000894	Pa_1_4750
359 alignments/orthologs0359.fas	OG0000895	Pa_1_4760
360 alignments/orthologs0360.fas	OG0000896	Pa_1_4770
361 alignments/orthologs0361.fas	OG0000897	Pa_1_4780
362 alignments/orthologs0362.fas	OG0000898	Pa_1_4790
363 alignments/orthologs0363.fas	OG0000899	Pa_1_4800
364 alignments/orthologs0364.fas	OG0000900	Pa_1_4820
365 alignments/orthologs0365.fas	OG0000901	Pa_1_4830
366 alignments/orthologs0366.fas	OG0000902	Pa_1_4840
367 alignments/orthologs0367.fas	OG0000903	Pa_1_4850
368 alignments/orthologs0368.fas	OG0000904	Pa_1_4880
369 alignments/orthologs0369.fas	OG0000905	Pa_1_4890
370 alignments/orthologs0370.fas	OG0000906	Pa_1_4910
371 alignments/orthologs0371.fas	OG0000907	Pa_1_4920
372 alignments/orthologs0372.fas	OG0000908	Pa_1_4930
373 alignments/orthologs0373.fas	OG0000909	Pa_1_4935
374 alignments/orthologs0374.fas	OG0000910	Pa_1_4940
375 alignments/orthologs0375.fas	OG0000911	Pa_1_4950
376 alignments/orthologs0376.fas	OG0000912	Pa_1_4960
377 alignments/orthologs0377.fas	OG0000913	Pa_1_4990
378 alignments/orthologs0378.fas	OG0000914	Pa_1_5000
379 alignments/orthologs0379.fas	OG0000915	Pa_1_5005
380 alignments/orthologs0380.fas	OG0000916	Pa_1_5010
381 alignments/orthologs0381.fas	OG0000917	Pa_1_5020
382 alignments/orthologs0382.fas	OG0000918	Pa_1_5030
383 alignments/orthologs0383.fas	OG0000919	Pa_1_5090
384 alignments/orthologs0384.fas	OG0000920	Pa_1_5100
385 alignments/orthologs0385.fas	OG0000921	Pa_1_5110
386 alignments/orthologs0386.fas	OG0000922	Pa_1_5120
387 alignments/orthologs0387.fas	OG0000923	Pa_1_5130
388 alignments/orthologs0388.fas	OG0000924	Pa_1_5140
389 alignments/orthologs0389.fas	OG0000925	Pa_1_5160
390 alignments/orthologs0390.fas	OG0000926	Pa_1_5170
391 alignments/orthologs0391.fas	OG0000927	Pa_1_5190
392 alignments/orthologs0392.fas	OG0000928	Pa_1_5195
393 alignments/orthologs0393.fas	OG0000929	Pa_1_5200
394 alignments/orthologs0394.fas	OG0000930	Pa_1_5220
395 alignments/orthologs0395.fas	OG0000931	Pa_1_5230
396 alignments/orthologs0396.fas	OG0000932	Pa_1_5240
397 alignments/orthologs0397.fas	OG0000933	Pa_1_5250
398 alignments/orthologs0398.fas	OG0000934	Pa_1_5260
399 alignments/orthologs0399.fas	OG0000935	Pa_1_5270
400 alignments/orthologs0400.fas	OG0000936	Pa_1_5290
401 alignments/orthologs0401.fas	OG0000937	Pa_1_5280
402 alignments/orthologs0402.fas	OG0000938	Pa_1_5300
403 alignments/orthologs0403.fas	OG0000939	Pa_1_5306
404 alignments/orthologs0404.fas	OG0000940	Pa_1_5310
405 alignments/orthologs0405.fas	OG0000941	Pa_1_5315
406 alignments/orthologs0406.fas	OG0000942	Pa_1_5320
407 alignments/orthologs0407.fas	OG0000943	Pa_1_5330
408 alignments/orthologs0408.fas	OG0000944	Pa_1_5340
409 alignments/orthologs0409.fas	OG0000945	Pa_1_5360
410 alignments/orthologs0410.fas	OG0000946	Pa_1_5370
411 alignments/orthologs0411.fas	OG0000947	Pa_1_5380
412 alignments/orthologs0412.fas	OG0000948	Pa_1_5390
413 alignments/orthologs0413.fas	OG0000949	Pa_1_5400
414 alignments/orthologs0414.fas	OG0000950	Pa_1_5420
415 alignments/orthologs0415.fas	OG0000951	Pa_1_5410
416 alignments/orthologs0416.fas	OG0000952	Pa_1_5430
417 alignments/orthologs0417.fas	OG0000953	Pa_1_5440
418 alignments/orthologs0418.fas	OG0000954	Pa_1_5450
419 alignments/orthologs0419.fas	OG0000955	Pa_1_5460
420 alignments/orthologs0420.fas	OG0000956	Pa_1_5470
421 alignments/orthologs0421.fas	OG0000957	Pa_1_5480
422 alignments/orthologs0422.fas	OG0000958	Pa_1_5485
423 alignments/orthologs0423.fas	OG0000959	Pa_1_5488
424 alignments/orthologs0424.fas	OG0000960	Pa_1_5490
425 alignments/orthologs0425.fas	OG0000961	Pa_1_5500
426 alignments/orthologs0426.fas	OG0000962	Pa_1_5530
427 alignments/orthologs0427.fas	OG0000963	Pa_1_5540
428 alignments/orthologs0428.fas	OG0000964	Pa_1_5570
429 alignments/orthologs0429.fas	OG0000965	Pa_1_5590
430 alignments/orthologs0430.fas	OG0000966	Pa_1_5599
431 alignments/orthologs0431.fas	OG0000967	Pa_1_5600
432 alignments/orthologs0432.fas	OG0000968	Pa_1_5620
433 alignments/orthologs0433.fas	OG0000969	Pa_1_5640
434 alignments/orthologs0434.fas	OG0000970	Pa_1_5655
435 alignments/orthologs0435.fas	OG0000971	Pa_1_5660
436 alignments/orthologs0436.fas	OG0000972	Pa_1_5670
437 alignments/orthologs0437.fas	OG0000973	Pa_1_5679
438 alignments/orthologs0438.fas	OG0000974	Pa_1_5680
439 alignments/orthologs0439.fas	OG0000975	Pa_1_5690
440 alignments/orthologs0440.fas	OG0000976	Pa_1_5700
441 alignments/orthologs0441.fas	OG0000977	Pa_1_5710
442 alignments/orthologs0442.fas	OG0000978	Pa_1_5740
443 alignments/orthologs0443.fas	OG0000979	Pa_1_5750
444 alignments/orthologs0444.fas	OG0000980	Pa_1_5760
445 alignments/orthologs0445.fas	OG0000981	Pa_1_5765
446 alignments/orthologs0446.fas	OG0000982	Pa_1_5770
447 alignments/orthologs0447.fas	OG0000983	Pa_1_5780
448 alignments/orthologs0448.fas	OG0000984	Pa_1_5820
449 alignments/orthologs0449.fas	OG0000985	Pa_1_5830
450 alignments/orthologs0450.fas	OG0000986	Pa_1_5840
