Number	Orthogroup	REFgene	Alignment
989	OG0001525	Pa_1_11450	alignments/orthologs0989.fas
4477	OG0005027	Pa_3_8880	alignments/orthologs4477.fas
6649	OG0007211	Pa_6_11760	alignments/orthologs6649.fas
3819	OG0004366	Pa_3_1740	alignments/orthologs3819.fas
1119	OG0001655	Pa_1_12830	alignments/orthologs1119.fas
2813	OG0003357	Pa_2_4845	alignments/orthologs2813.fas
1689	OG0002227	Pa_1_18730	alignments/orthologs1689.fas
1175	OG0001711	Pa_1_13720	alignments/orthologs1175.fas
3910	OG0004458	Pa_3_2910	alignments/orthologs3910.fas
5886	OG0006445	Pa_5_3260	alignments/orthologs5886.fas
5430	OG0005985	Pa_4_6130	alignments/orthologs5430.fas
5245	OG0005800	Pa_4_8110	alignments/orthologs5245.fas
685	OG0001221	Pa_1_8215	alignments/orthologs0685.fas
2232	OG0002773	Pa_1_840	alignments/orthologs2232.fas
6813	OG0007375	Pa_6_5350	alignments/orthologs6813.fas
3119	OG0003665	Pa_2_8280	alignments/orthologs3119.fas
2256	OG0002797	Pa_1_610	alignments/orthologs2256.fas
7306	OG0007870	Pa_6_7530	alignments/orthologs7306.fas
635	OG0001171	Pa_1_7690	alignments/orthologs0635.fas
1785	OG0002323	Pa_1_19740	alignments/orthologs1785.fas
5451	OG0006006	Pa_4_5690	alignments/orthologs5451.fas
7181	OG0007745	Pa_6_380	alignments/orthologs7181.fas
8286	OG0008853	Pa_7_9750	alignments/orthologs8286.fas
3058	OG0003604	Pa_2_7460	alignments/orthologs3058.fas
5620	OG0006176	Pa_5_2820	alignments/orthologs5620.fas
5419	OG0005974	Pa_4_6240	alignments/orthologs5419.fas
5515	OG0006071	Pa_4_5090	alignments/orthologs5515.fas
7651	OG0008215	Pa_7_4330	alignments/orthologs7651.fas
4733	OG0005283	Pa_4_410	alignments/orthologs4733.fas
695	OG0001231	Pa_1_8310	alignments/orthologs0695.fas
5206	OG0005760	Pa_4_8523	alignments/orthologs5206.fas
3699	OG0004246	Pa_3_310	alignments/orthologs3699.fas
8199	OG0008765	Pa_7_8830	alignments/orthologs8199.fas
3773	OG0004320	Pa_3_1195	alignments/orthologs3773.fas
3342	OG0003888	Pa_2_10720	alignments/orthologs3342.fas
8507	OG0009074	Pa_7_1190	alignments/orthologs8507.fas
6837	OG0007399	Pa_6_5600	alignments/orthologs6837.fas
6942	OG0007504	Pa_6_3200	alignments/orthologs6942.fas
7805	OG0008370	Pa_7_2390	alignments/orthologs7805.fas
1534	OG0002072	Pa_1_17130	alignments/orthologs1534.fas
2516	OG0003058	Pa_2_1540	alignments/orthologs2516.fas
3568	OG0004114	Pa_2_13080	alignments/orthologs3568.fas
5496	OG0006052	Pa_4_5260	alignments/orthologs5496.fas
5808	OG0006365	Pa_5_490	alignments/orthologs5808.fas
4796	OG0005347	Pa_4_1035	alignments/orthologs4796.fas
2253	OG0002794	Pa_1_620	alignments/orthologs2253.fas
5505	OG0006061	Pa_4_5170	alignments/orthologs5505.fas
2832	OG0003376	Pa_2_5090	alignments/orthologs2832.fas
8218	OG0008784	Pa_7_9050	alignments/orthologs8218.fas
522	OG0001058	Pa_1_6580	alignments/orthologs0522.fas
1983	OG0002524	Pa_1_22120	alignments/orthologs1983.fas
5307	OG0005862	Pa_4_7450	alignments/orthologs5307.fas
2677	OG0003219	Pa_2_3280	alignments/orthologs2677.fas
8560	OG0009127	Pa_7_560	alignments/orthologs8560.fas
8345	OG0008912	Pa_7_10400	alignments/orthologs8345.fas
2135	OG0002676	Pa_1_23740	alignments/orthologs2135.fas
2427	OG0002968	Pa_2_630	alignments/orthologs2427.fas
4376	OG0004925	Pa_3_7790	alignments/orthologs4376.fas
3176	OG0003722	Pa_2_8800	alignments/orthologs3176.fas
3782	OG0004329	Pa_3_1300	alignments/orthologs3782.fas
5446	OG0006001	Pa_4_5940	alignments/orthologs5446.fas
7256	OG0007820	Pa_6_6850	alignments/orthologs7256.fas
5616	OG0006172	Pa_5_2870	alignments/orthologs5616.fas
3790	OG0004337	Pa_3_1400	alignments/orthologs3790.fas
1316	OG0001852	Pa_1_14850	alignments/orthologs1316.fas
6798	OG0007360	Pa_6_5190	alignments/orthologs6798.fas
8390	OG0008957	Pa_7_10860	alignments/orthologs8390.fas
5013	OG0005567	Pa_4_4030	alignments/orthologs5013.fas
762	OG0001298	Pa_1_9000	alignments/orthologs0762.fas
943	OG0001479	Pa_1_10950	alignments/orthologs0943.fas
3200	OG0003746	Pa_2_9170	alignments/orthologs3200.fas
1897	OG0002435	Pa_1_20920	alignments/orthologs1897.fas
862	OG0001398	Pa_1_10070	alignments/orthologs0862.fas
1433	OG0001970	Pa_1_16110	alignments/orthologs1433.fas
3640	OG0004186	Pa_2_13890	alignments/orthologs3640.fas
7421	OG0007985	Pa_6_9020	alignments/orthologs7421.fas
3462	OG0004008	Pa_2_11970	alignments/orthologs3462.fas
8591	OG0009158	Pa_7_240	alignments/orthologs8591.fas
4986	OG0005540	Pa_4_9760	alignments/orthologs4986.fas
5367	OG0005922	Pa_4_6820	alignments/orthologs5367.fas
3755	OG0004302	Pa_3_930	alignments/orthologs3755.fas
1577	OG0002115	Pa_1_17520	alignments/orthologs1577.fas
670	OG0001206	Pa_1_8060	alignments/orthologs0670.fas
6198	OG0006759	Pa_5_12220	alignments/orthologs6198.fas
509	OG0001045	Pa_1_6450	alignments/orthologs0509.fas
1050	OG0001586	Pa_1_12080	alignments/orthologs1050.fas
3990	OG0004538	Pa_3_3770	alignments/orthologs3990.fas
4158	OG0004706	Pa_3_5500	alignments/orthologs4158.fas
8238	OG0008804	Pa_7_9245	alignments/orthologs8238.fas
5691	OG0006247	Pa_5_2015	alignments/orthologs5691.fas
1226	OG0001762	Pa_1_13238	alignments/orthologs1226.fas
345	OG0000881	Pa_1_4590	alignments/orthologs0345.fas
1789	OG0002327	Pa_1_19780	alignments/orthologs1789.fas
2449	OG0002990	Pa_2_840	alignments/orthologs2449.fas
8055	OG0008621	Pa_7_7330	alignments/orthologs8055.fas
624	OG0001160	Pa_1_7580	alignments/orthologs0624.fas
4737	OG0005287	Pa_4_445	alignments/orthologs4737.fas
3370	OG0003916	Pa_2_11030	alignments/orthologs3370.fas
1469	OG0002007	Pa_0_1640	alignments/orthologs1469.fas
6012	OG0006572	Pa_5_4780	alignments/orthologs6012.fas
8450	OG0009017	Pa_7_11440	alignments/orthologs8450.fas
4463	OG0005013	Pa_3_8750	alignments/orthologs4463.fas
6079	OG0006639	Pa_5_5540	alignments/orthologs6079.fas
2395	OG0002936	Pa_2_320	alignments/orthologs2395.fas
8033	OG0008599	Pa_7_7100	alignments/orthologs8033.fas
6876	OG0007438	Pa_6_5970	alignments/orthologs6876.fas
8577	OG0009144	Pa_7_419	alignments/orthologs8577.fas
2974	OG0003519	Pa_2_6560	alignments/orthologs2974.fas
5264	OG0005819	Pa_4_7920	alignments/orthologs5264.fas
2821	OG0003365	Pa_2_4970	alignments/orthologs2821.fas
4685	OG0005235	Pa_3_10910	alignments/orthologs4685.fas
7624	OG0008188	Pa_7_4620	alignments/orthologs7624.fas
6475	OG0007036	Pa_5_9520	alignments/orthologs6475.fas
4352	OG0004901	Pa_3_7550	alignments/orthologs4352.fas
632	OG0001168	Pa_1_7660	alignments/orthologs0632.fas
2423	OG0002964	Pa_2_580	alignments/orthologs2423.fas
6241	OG0006802	Pa_5_7300	alignments/orthologs6241.fas
1482	OG0002020	Pa_1_16630	alignments/orthologs1482.fas
3601	OG0004147	Pa_2_13420	alignments/orthologs3601.fas
927	OG0001463	Pa_1_10770	alignments/orthologs0927.fas
7418	OG0007982	Pa_6_8980	alignments/orthologs7418.fas
118	OG0000653	Pa_1_2260	alignments/orthologs0118.fas
4778	OG0005329	Pa_4_870	alignments/orthologs4778.fas
6724	OG0007286	Pa_6_4360	alignments/orthologs6724.fas
8397	OG0008964	Pa_7_10920	alignments/orthologs8397.fas
263	OG0000799	Pa_1_3767	alignments/orthologs0263.fas
7340	OG0007904	Pa_6_8045	alignments/orthologs7340.fas
7938	OG0008504	Pa_7_5790	alignments/orthologs7938.fas
4149	OG0004697	Pa_3_5420	alignments/orthologs4149.fas
1136	OG0001672	Pa_1_14120	alignments/orthologs1136.fas
600	OG0001136	Pa_1_7310	alignments/orthologs0600.fas
8228	OG0008794	Pa_7_9170	alignments/orthologs8228.fas
7023	OG0007586	Pa_6_2130	alignments/orthologs7023.fas
5431	OG0005986	Pa_4_6120	alignments/orthologs5431.fas
7698	OG0008262	Pa_7_3790	alignments/orthologs7698.fas
6059	OG0006619	Pa_5_5290	alignments/orthologs6059.fas
1110	OG0001646	Pa_1_12740	alignments/orthologs1110.fas
5570	OG0006126	Pa_4_4440	alignments/orthologs5570.fas
5173	OG0005727	Pa_4_8870	alignments/orthologs5173.fas
4242	OG0004791	Pa_3_6450	alignments/orthologs4242.fas
6233	OG0006794	Pa_5_7420	alignments/orthologs6233.fas
8369	OG0008936	Pa_7_10630	alignments/orthologs8369.fas
1072	OG0001608	Pa_1_12330	alignments/orthologs1072.fas
1178	OG0001714	Pa_1_13695	alignments/orthologs1178.fas
8303	OG0008870	Pa_7_9960	alignments/orthologs8303.fas
2333	OG0002874	Pa_0_960	alignments/orthologs2333.fas
8399	OG0008966	Pa_7_10940	alignments/orthologs8399.fas
6229	OG0006790	Pa_5_7490	alignments/orthologs6229.fas
8141	OG0008707	Pa_7_8080	alignments/orthologs8141.fas
2882	OG0003427	Pa_2_5650	alignments/orthologs2882.fas
4868	OG0005422	Pa_4_2040	alignments/orthologs4868.fas
3144	OG0003690	Pa_2_8580	alignments/orthologs3144.fas
5614	OG0006170	Pa_5_2910	alignments/orthologs5614.fas
1767	OG0002305	Pa_1_19540	alignments/orthologs1767.fas
8214	OG0008780	Pa_7_9010	alignments/orthologs8214.fas
4799	OG0005350	Pa_4_1053	alignments/orthologs4799.fas
7567	OG0008131	Pa_6_10890	alignments/orthologs7567.fas
2989	OG0003535	Pa_2_6720	alignments/orthologs2989.fas
5400	OG0005955	Pa_4_6460	alignments/orthologs5400.fas
5638	OG0006194	Pa_5_2580	alignments/orthologs5638.fas
326	OG0000862	Pa_1_4400	alignments/orthologs0326.fas
973	OG0001509	Pa_1_11270	alignments/orthologs0973.fas
1640	OG0002178	Pa_1_18210	alignments/orthologs1640.fas
2047	OG0002588	Pa_1_22800	alignments/orthologs2047.fas
135	OG0000670	Pa_1_2440	alignments/orthologs0135.fas
454	OG0000990	Pa_1_5880	alignments/orthologs0454.fas
126	OG0000661	Pa_1_2350	alignments/orthologs0126.fas
1033	OG0001569	Pa_1_11920	alignments/orthologs1033.fas
6668	OG0007230	Pa_6_3790	alignments/orthologs6668.fas
2281	OG0002822	Pa_1_300	alignments/orthologs2281.fas
245	OG0000780	Pa_1_3580	alignments/orthologs0245.fas
413	OG0000949	Pa_1_5400	alignments/orthologs0413.fas
174	OG0000709	Pa_1_2820	alignments/orthologs0174.fas
8483	OG0009050	Pa_7_1460	alignments/orthologs8483.fas
6145	OG0006705	Pa_5_6240	alignments/orthologs6145.fas
6865	OG0007427	Pa_6_5860	alignments/orthologs6865.fas
831	OG0001367	Pa_1_9710	alignments/orthologs0831.fas
7086	OG0007650	Pa_6_1400	alignments/orthologs7086.fas
7860	OG0008426	Pa_7_1780	alignments/orthologs7860.fas
4107	OG0004655	Pa_3_4960	alignments/orthologs4107.fas
4615	OG0005165	Pa_3_10312	alignments/orthologs4615.fas
4325	OG0004874	Pa_3_7290	alignments/orthologs4325.fas
1810	OG0002348	Pa_1_20010	alignments/orthologs1810.fas
1556	OG0002094	Pa_1_17320	alignments/orthologs1556.fas
2369	OG0002910	Pa_2_80	alignments/orthologs2369.fas
3046	OG0003592	Pa_2_7340	alignments/orthologs3046.fas
4184	OG0004733	Pa_3_5820	alignments/orthologs4184.fas
3945	OG0004493	Pa_3_3270	alignments/orthologs3945.fas
2312	OG0002853	Pa_0_700	alignments/orthologs2312.fas
7775	OG0008340	Pa_7_2730	alignments/orthologs7775.fas
8118	OG0008684	Pa_7_7990	alignments/orthologs8118.fas
1394	OG0001931	Pa_1_15710	alignments/orthologs1394.fas
588	OG0001124	Pa_1_7210	alignments/orthologs0588.fas
936	OG0001472	Pa_1_10860	alignments/orthologs0936.fas
768	OG0001304	Pa_1_9040	alignments/orthologs0768.fas
6025	OG0006585	Pa_5_4900	alignments/orthologs6025.fas
5350	OG0005905	Pa_4_7020	alignments/orthologs5350.fas
6265	OG0006826	Pa_5_7095	alignments/orthologs6265.fas
6044	OG0006604	Pa_5_5110	alignments/orthologs6044.fas
2392	OG0002933	Pa_2_290	alignments/orthologs2392.fas
2693	OG0003235	Pa_2_3420	alignments/orthologs2693.fas
5140	OG0005694	Pa_4_9225	alignments/orthologs5140.fas
4835	OG0005387	Pa_4_1480	alignments/orthologs4835.fas
3124	OG0003670	Pa_2_8360	alignments/orthologs3124.fas
3724	OG0004271	Pa_3_570	alignments/orthologs3724.fas
2162	OG0002703	Pa_1_24000	alignments/orthologs2162.fas
2565	OG0003107	Pa_2_2080	alignments/orthologs2565.fas
1549	OG0002087	Pa_1_17260	alignments/orthologs1549.fas
1691	OG0002229	Pa_1_18750	alignments/orthologs1691.fas
1435	OG0001972	Pa_1_16130	alignments/orthologs1435.fas
1962	OG0002502	Pa_1_21830	alignments/orthologs1962.fas
6627	OG0007189	Pa_6_11460	alignments/orthologs6627.fas
3836	OG0004383	Pa_3_1930	alignments/orthologs3836.fas
8542	OG0009109	Pa_7_760	alignments/orthologs8542.fas
5555	OG0006111	Pa_4_4600	alignments/orthologs5555.fas
5894	OG0006453	Pa_5_3390	alignments/orthologs5894.fas
6366	OG0006927	Pa_5_8220	alignments/orthologs6366.fas
4740	OG0005290	Pa_4_470	alignments/orthologs4740.fas
2205	OG0002746	Pa_1_24520	alignments/orthologs2205.fas
2641	OG0003183	Pa_2_2920	alignments/orthologs2641.fas
5051	OG0005605	Pa_4_3520	alignments/orthologs5051.fas
5693	OG0006249	Pa_5_2000	alignments/orthologs5693.fas
6255	OG0006816	Pa_5_7185	alignments/orthologs6255.fas
689	OG0001225	Pa_1_8260	alignments/orthologs0689.fas
392	OG0000928	Pa_1_5195	alignments/orthologs0392.fas
2081	OG0002622	Pa_1_23155	alignments/orthologs2081.fas
7593	OG0008157	Pa_7_4980	alignments/orthologs7593.fas
2210	OG0002751	Pa_1_24580	alignments/orthologs2210.fas
3111	OG0003657	Pa_2_8210	alignments/orthologs3111.fas
6143	OG0006703	Pa_5_6220	alignments/orthologs6143.fas
3538	OG0004084	Pa_2_12770	alignments/orthologs3538.fas
6129	OG0006689	Pa_5_6080	alignments/orthologs6129.fas
7859	OG0008425	Pa_7_1790	alignments/orthologs7859.fas
7583	OG0008147	Pa_6_11080	alignments/orthologs7583.fas
302	OG0000838	Pa_1_4150	alignments/orthologs0302.fas
7820	OG0008386	Pa_7_2175	alignments/orthologs7820.fas
1718	OG0002256	Pa_1_19040	alignments/orthologs1718.fas
700	OG0001236	Pa_1_8360	alignments/orthologs0700.fas
7971	OG0008537	Pa_7_6210	alignments/orthologs7971.fas
6614	OG0007175	Pa_6_11240	alignments/orthologs6614.fas
5762	OG0006319	Pa_5_1020	alignments/orthologs5762.fas
788	OG0001324	Pa_1_9270	alignments/orthologs0788.fas
4895	OG0005449	Pa_4_2330	alignments/orthologs4895.fas
8307	OG0008874	Pa_7_10010	alignments/orthologs8307.fas
1353	OG0001890	Pa_1_15280	alignments/orthologs1353.fas
6923	OG0007485	Pa_6_3400	alignments/orthologs6923.fas
3371	OG0003917	Pa_2_11040	alignments/orthologs3371.fas
4065	OG0004613	Pa_3_4550	alignments/orthologs4065.fas
190	OG0000725	Pa_1_3050	alignments/orthologs0190.fas
4672	OG0005222	Pa_3_11120	alignments/orthologs4672.fas
7066	OG0007630	Pa_6_1600	alignments/orthologs7066.fas
7135	OG0007699	Pa_6_920	alignments/orthologs7135.fas
2681	OG0003223	Pa_2_3320	alignments/orthologs2681.fas
6134	OG0006694	Pa_5_6130	alignments/orthologs6134.fas
1303	OG0001839	Pa_1_14700	alignments/orthologs1303.fas
4776	OG0005327	Pa_4_840	alignments/orthologs4776.fas
999	OG0001535	Pa_1_11560	alignments/orthologs0999.fas
991	OG0001527	Pa_1_11470	alignments/orthologs0991.fas
4993	OG0005547	Pa_4_9880	alignments/orthologs4993.fas
4730	OG0005280	Pa_4_370	alignments/orthologs4730.fas
8418	OG0008985	Pa_7_11130	alignments/orthologs8418.fas
4729	OG0005279	Pa_4_360	alignments/orthologs4729.fas
2630	OG0003172	Pa_2_2810	alignments/orthologs2630.fas
3212	OG0003758	Pa_2_9280	alignments/orthologs3212.fas
4078	OG0004626	Pa_3_4670	alignments/orthologs4078.fas
3987	OG0004535	Pa_3_3750	alignments/orthologs3987.fas
4362	OG0004911	Pa_3_7640	alignments/orthologs4362.fas
1786	OG0002324	Pa_1_19750	alignments/orthologs1786.fas
97	OG0000632	Pa_1_2080	alignments/orthologs0097.fas
4363	OG0004912	Pa_3_7650	alignments/orthologs4363.fas
1903	OG0002441	Pa_1_20980	alignments/orthologs1903.fas
1576	OG0002114	Pa_1_17510	alignments/orthologs1576.fas
103	OG0000638	Pa_1_2140	alignments/orthologs0103.fas
2483	OG0003025	Pa_2_1180	alignments/orthologs2483.fas
6399	OG0006960	Pa_5_8630	alignments/orthologs6399.fas
7185	OG0007749	Pa_6_330	alignments/orthologs7185.fas
6437	OG0006998	Pa_5_9040	alignments/orthologs6437.fas
3407	OG0003953	Pa_2_11430	alignments/orthologs3407.fas
2034	OG0002575	Pa_1_22665	alignments/orthologs2034.fas
7096	OG0007660	Pa_6_1310	alignments/orthologs7096.fas
7413	OG0007977	Pa_6_8940	alignments/orthologs7413.fas
6185	OG0006746	Pa_5_11980	alignments/orthologs6185.fas
5740	OG0006297	Pa_5_1370	alignments/orthologs5740.fas
7091	OG0007655	Pa_6_1350	alignments/orthologs7091.fas
1220	OG0001756	Pa_1_13300	alignments/orthologs1220.fas
8110	OG0008676	Pa_7_7880	alignments/orthologs8110.fas
1818	OG0002356	Pa_1_20110	alignments/orthologs1818.fas
1264	OG0001800	Pa_1_14330	alignments/orthologs1264.fas
8573	OG0009140	Pa_7_470	alignments/orthologs8573.fas
6589	OG0007150	Pa_5_10950	alignments/orthologs6589.fas
7123	OG0007687	Pa_6_1030	alignments/orthologs7123.fas
5016	OG0005570	Pa_4_3960	alignments/orthologs5016.fas
3777	OG0004324	Pa_3_1240	alignments/orthologs3777.fas
4409	OG0004958	Pa_3_8150	alignments/orthologs4409.fas
4482	OG0005032	Pa_3_8930	alignments/orthologs4482.fas
584	OG0001120	Pa_1_7155	alignments/orthologs0584.fas
7566	OG0008130	Pa_6_10880	alignments/orthologs7566.fas
2792	OG0003334	Pa_2_4545	alignments/orthologs2792.fas
5563	OG0006119	Pa_4_4500	alignments/orthologs5563.fas
4360	OG0004909	Pa_3_7620	alignments/orthologs4360.fas
7976	OG0008542	Pa_7_6310	alignments/orthologs7976.fas
3151	OG0003697	Pa_2_8640	alignments/orthologs3151.fas
3172	OG0003718	Pa_2_8840	alignments/orthologs3172.fas
5267	OG0005822	Pa_4_7890	alignments/orthologs5267.fas
188	OG0000723	Pa_1_3030	alignments/orthologs0188.fas
253	OG0000788	Pa_1_3670	alignments/orthologs0253.fas
687	OG0001223	Pa_1_8240	alignments/orthologs0687.fas
5714	OG0006271	Pa_5_1740	alignments/orthologs5714.fas
203	OG0000738	Pa_1_3170	alignments/orthologs0203.fas
769	OG0001305	Pa_1_9065	alignments/orthologs0769.fas
2674	OG0003216	Pa_2_3250	alignments/orthologs2674.fas
8407	OG0008974	Pa_7_11030	alignments/orthologs8407.fas
7365	OG0007929	Pa_6_8270	alignments/orthologs7365.fas
4364	OG0004913	Pa_3_7660	alignments/orthologs4364.fas
5758	OG0006315	Pa_5_1070	alignments/orthologs5758.fas
8349	OG0008916	Pa_7_10450	alignments/orthologs8349.fas
8455	OG0009022	Pa_7_11490	alignments/orthologs8455.fas
5896	OG0006455	Pa_5_3400	alignments/orthologs5896.fas
1234	OG0001770	Pa_1_13170	alignments/orthologs1234.fas
3347	OG0003893	Pa_2_10780	alignments/orthologs3347.fas
6398	OG0006959	Pa_5_8620	alignments/orthologs6398.fas
8546	OG0009113	Pa_7_720	alignments/orthologs8546.fas
4886	OG0005440	Pa_0_340	alignments/orthologs4886.fas
6718	OG0007280	Pa_6_4310	alignments/orthologs6718.fas
6660	OG0007222	Pa_6_3720	alignments/orthologs6660.fas
3369	OG0003915	Pa_2_11020	alignments/orthologs3369.fas
3529	OG0004075	Pa_2_12670	alignments/orthologs3529.fas
6349	OG0006910	Pa_5_8076	alignments/orthologs6349.fas
7431	OG0007995	Pa_6_9100	alignments/orthologs7431.fas
264	OG0000800	Pa_1_3770	alignments/orthologs0264.fas
8144	OG0008710	Pa_7_8140	alignments/orthologs8144.fas
7392	OG0007956	Pa_6_8640	alignments/orthologs7392.fas
5406	OG0005961	Pa_4_6380	alignments/orthologs5406.fas
2585	OG0003127	Pa_2_2280	alignments/orthologs2585.fas
40	OG0000575	Pa_1_1470	alignments/orthologs0040.fas
2100	OG0002641	Pa_1_23354	alignments/orthologs2100.fas
1899	OG0002437	Pa_1_20940	alignments/orthologs1899.fas
3456	OG0004002	Pa_2_11910	alignments/orthologs3456.fas
2986	OG0003532	Pa_2_6695	alignments/orthologs2986.fas
7572	OG0008136	Pa_6_10950	alignments/orthologs7572.fas
6076	OG0006636	Pa_5_5510	alignments/orthologs6076.fas
49	OG0000584	Pa_1_1570	alignments/orthologs0049.fas
6969	OG0007531	Pa_6_2910	alignments/orthologs6969.fas
4374	OG0004923	Pa_3_7760	alignments/orthologs4374.fas
3426	OG0003972	Pa_2_11600	alignments/orthologs3426.fas
3816	OG0004363	Pa_3_1710	alignments/orthologs3816.fas
5401	OG0005956	Pa_4_6440	alignments/orthologs5401.fas
7722	OG0008287	Pa_7_3470	alignments/orthologs7722.fas
2885	OG0003430	Pa_2_5675	alignments/orthologs2885.fas
6949	OG0007511	Pa_6_3120	alignments/orthologs6949.fas
5279	OG0005834	Pa_4_7720	alignments/orthologs5279.fas
6479	OG0007040	Pa_5_9545	alignments/orthologs6479.fas
3251	OG0003797	Pa_2_9700	alignments/orthologs3251.fas
1812	OG0002350	Pa_1_20030	alignments/orthologs1812.fas
3871	OG0004418	Pa_3_2330	alignments/orthologs3871.fas
4751	OG0005302	Pa_4_618	alignments/orthologs4751.fas
6689	OG0007251	Pa_6_4010	alignments/orthologs6689.fas
4492	OG0005042	Pa_3_9020	alignments/orthologs4492.fas
6998	OG0007560	Pa_6_2610	alignments/orthologs6998.fas
1064	OG0001600	Pa_1_12250	alignments/orthologs1064.fas
2760	OG0003302	Pa_2_4150	alignments/orthologs2760.fas
2236	OG0002777	Pa_1_800	alignments/orthologs2236.fas
8226	OG0008792	Pa_7_9160	alignments/orthologs8226.fas
1865	OG0002403	Pa_1_20550	alignments/orthologs1865.fas
1852	OG0002390	Pa_1_20415	alignments/orthologs1852.fas
5665	OG0006221	Pa_5_2280	alignments/orthologs5665.fas
3298	OG0003844	Pa_2_10180	alignments/orthologs3298.fas
4660	OG0005210	Pa_3_11240	alignments/orthologs4660.fas
411	OG0000947	Pa_1_5380	alignments/orthologs0411.fas
5547	OG0006103	Pa_4_4740	alignments/orthologs5547.fas
7640	OG0008204	Pa_7_4460	alignments/orthologs7640.fas
4867	OG0005421	Pa_4_2035	alignments/orthologs4867.fas
3448	OG0003994	Pa_2_11830	alignments/orthologs3448.fas
5838	OG0006395	Pa_5_12650	alignments/orthologs5838.fas
1887	OG0002425	Pa_1_20820	alignments/orthologs1887.fas
7615	OG0008179	Pa_7_4730	alignments/orthologs7615.fas
6556	OG0007117	Pa_5_11440	alignments/orthologs6556.fas
4513	OG0005063	Pa_3_9230	alignments/orthologs4513.fas
5530	OG0006086	Pa_4_4920	alignments/orthologs5530.fas
7140	OG0007704	Pa_6_860	alignments/orthologs7140.fas
911	OG0001447	Pa_1_10600	alignments/orthologs0911.fas
751	OG0001287	Pa_1_8860	alignments/orthologs0751.fas
8242	OG0008808	Pa_7_9265	alignments/orthologs8242.fas
4251	OG0004800	Pa_3_6540	alignments/orthologs4251.fas
2814	OG0003358	Pa_2_4850	alignments/orthologs2814.fas
5336	OG0005891	Pa_4_7160	alignments/orthologs5336.fas
2727	OG0003269	Pa_2_3800	alignments/orthologs2727.fas
545	OG0001081	Pa_1_6780	alignments/orthologs0545.fas
4098	OG0004646	Pa_3_4860	alignments/orthologs4098.fas
3654	OG0004200	Pa_2_13730	alignments/orthologs3654.fas
6330	OG0006891	Pa_5_7753	alignments/orthologs6330.fas
106	OG0000641	Pa_1_2170	alignments/orthologs0106.fas
170	OG0000705	Pa_1_2770	alignments/orthologs0170.fas
4512	OG0005062	Pa_3_9220	alignments/orthologs4512.fas
3125	OG0003671	Pa_2_8370	alignments/orthologs3125.fas
5979	OG0006539	Pa_5_4420	alignments/orthologs5979.fas
5187	OG0005741	Pa_4_8740	alignments/orthologs5187.fas
3005	OG0003551	Pa_2_6930	alignments/orthologs3005.fas
2785	OG0003327	Pa_2_4420	alignments/orthologs2785.fas
7231	OG0007795	Pa_6_6560	alignments/orthologs7231.fas
2276	OG0002817	Pa_1_360	alignments/orthologs2276.fas
3621	OG0004167	Pa_2_14080	alignments/orthologs3621.fas
4387	OG0004936	Pa_3_7920	alignments/orthologs4387.fas
5535	OG0006091	Pa_4_4860	alignments/orthologs5535.fas
